artista,musica,tom,sequencia
diante-do-trono,coracao-igual-ao-teu,G,C9;G/B;Em;Bm7;C;C/E;Am/E;F/A;G;C9;G;Am7;D/F#;C9;D/C;G;D/F#;Em;Am;G/B;C9;D;G;Am;G/B;C9;Am;D;G;F/A;G/B;C9;D;D/C;Bm;Em9;Bm;Em;Am;G/B;C9;D;G;D/F#;Em;D/F#;G;G/B;C9;D/C;Ebº;Em;D;C9;D;G;G/B;C9;D/C;Ebº;Em;D;C9;D;E;A;Bm;A/C#;D9;Bm;E;A;G/B;A/C#;D;E;E/D;C#m;F#m7;C#m;F#m7;Bm;A/C#;D9;E;A
diante-do-trono,me-ama,A,Asus;D9/F#;Esus4;D9/F#;A;D/F#;Esus;Dsus;A;D/F#;Esus;E;Dsus;A;D/F#;E;Dsus;A;D;Asus;D9/F#;Esus4;D9/F#;A;D/F#;Esus;Dsus;A;D/F#;Esus;E;Dsus;A;D/F#;E;Dsus;A;Asus;D9/F#;Esus4;D9/F#;A;F#m;E;Dsus;A;D/F#;Esus;E;Dsus;A;D/F#;Dsus;A;F#m;E;Dsus
diante-do-trono,o-cheiro-das-aguas,C,Am;Em;Fm;Fm/Ab;C;F°;Am7;F4+;F;Dm;Em;F;G4;G;F9;Fm/Ab;Fm7/C;C;C/E;F;G;Am;C/E;F;G/F;Em7;Am9;G;F9;C;Fm/C;G#º
diante-do-trono,porque-dele-por-ele,G,Em;C;D;Em;Em;C;D;Em;Em;C;B;D;G;D;Em;C;B;Em;Em;C;D;Em;C;D;Em;Em;C;B;D;G;D;Em;C;B;Em
diante-do-trono,preciso-de-ti,D,G;D/F#;A;E;A;F#m;A;F#m;D;Bm;F#m;C#m;D;Bm;E4;E;F#m;C#m;D;A;Bm;A;E;F#m;C#m;D;A;Bm;Bm;G;D/F#;A;E;F#m;D;C#m;Bm;C#m;D;Bm;F#m;C#m;D;Bm;E4;E;F#m;C#m;D;A;Bm;A;E;F#m;C#m;D;A;Bm;Bm;G;D/F#;A;E;C#m;D;F#m;C#m;D;Bm;C#m;F#m;E;D;Bm;C#m;G;D/F#;A;E;F#m;C#m;D;A;Bm;A;E;F#m;C#m;D;A;Bm;Bm;G;D/F#;A;E;G;D9/F#;F;G;A;D9/F#;F;G;A9
diante-do-trono,te-agradeco,D,G;D;D;G;D;A;D;D7/C;G;D;A;G;D;G;D;G;D;D;D7/C;G;D;D/F#;G;D;D/F#;G;D;D/F#;G;Gm/Bb;D;G;D;A7;Gm/Bb;D
dilsinho,a-vinganca,A#,Am7;Gm7;Am7;D7;Bb7+;C7/4/9;C/Bb;Am7;D7/4/9;D7;Bb7+;C7/4/9;C/Bb;Am7;D7/4/9;D7;Bb7+;C7/4/9;C/Bb;Am7;Am7;G#m7;Gm7;F7+;E7;Eb7;D7;Bb7+;C7/4/9;C/Bb;Am4;D7/4/9;D7/4;Bb7+;C7/4/9;F7+;C/E;Cm6/Eb;D7/4;D7;Bb7+;C7/4/9;F7+;C/E;Eb6/9;D7/4/9;Bb7+;Bb6;C7/4/9;F7+;C/E;Eb6/9;D7/9b
dilsinho,ja-que-voce-nao-me-quer-mais,G,G;C;D7;G;C;B7;Em7;B7;C7+;Dsus4;G;C;D7;G;C;B7;Em7;B7;C7+;Dsus4;Em7;Bm7;C7+;Dsus4;D#°;Em7;G/B;A7/9;Dsus4;G;G/B;C;D;G;C;D;Em7;Bm7;C7+;Dsus4;G9;G;C;D7;G;C;B7/5+;Em7;B7;C7+;Dsus4;G;C;D7;G;G;C;B7/5+;Em7;B7;C7+;Dsus4;Em;Bm;C;D;D#°;Em;G;A7;D7;G;C;D;G;C;D;Em7;Bm7;C7+;D7;G
dilsinho,se-prepara,A,A;D/F#;A;D/F#;A;D#7;A;D/F#;A;D/F#;A;D/F#;A;D/F#;Bm;D/F#;E;D/F#;A;E;F#m7;D/F#;A;E;F#m7;D/F#;A;E;D4/G;A;D4/G;D/F#;E;A;D4/G;D/F#;E;E;A;D4/G;D/F#;E
dilsinho,se-quiser,C,C9;G/B;Am7;F9;C9;G/B;Am7;F9;C9;G/B;Am7;F9;C9;G/B;Am7;F9;Am7;F9;Am7;F9;Am7;F9;Am7;F9;C;G/B;Am7;F9;C;G/B;Am7;F9;C;G/B;Am7;F9;C;G/B;Am7;F9;C;G/B;Am7;F9
diogo-nogueira,a-voz-do-morro,A,A7M;G#m7;F#m7;Am;B7;E;A#m7/5b;Am6;G#m7;Gdim;F#m7;Am6;B7;E;E;D/F#;E/G#;A#m7/5b;Am6;G#m7;Gdim;F#m7;G#m7;A7M;F#m7;G#m7;Am6;B7;E;E7;A#m7/5b;Am6;G#m7;Gdim;F#m7;Am6;B7;E;E;D/F#;E/G#;A#m7/5b;Am6;G#m7;Gdim;F#m7;G#m7;A7M;F#m7;G#m7;Am6;B7;E;A7M;Am6;G#m7;Gdim;F#m7;B7;E;D/F#;E/F#;A#m7/5b;Am6;G#m7;Gdim;F#m7;B7;B7;E;E7;A#m7/5b;Am6;G#m7;Gdim;F#m7;Am6;B7;E;E;D/F#;E/G#;A#m7/5b;Am6;G#m7;Gdim;F#m7;G#m7;A7M;F#m7;G#m7;Am6;B7;E;A7M;Am6;G#m7;Gdim;F#m7;B7;E;D/F#;E/F#;A#m7/5b;Am6;G#m7;Gdim;F#m7;B7;B7;E;A;E;D/F#;E/G#;A#m7/5b;Am6;G#m7;Gdim;F#m7;G#m7;A7M;F#m7;G#m7;Am6;B7;E
diogo-nogueira,acreditar,C,C;G7;C;C7;F;Fm;Em;A7;Dm;G7;C;A7;Dm;G7;C;A7;Dm;G7;C;C7;F;Fm;Em;A7;Dm;G7;Gm;C7;F;Fm;Em;A7;Dm;G7;Gm;F;Fm;Em;A7;Dm;G7;Gm
diogo-nogueira,batendo-porta,G,G7M;C#m7(b5);Cm7;Bm7;E7(b9);Am7;D7(9);Dm7(9);G7(b13);C#m7(b5);Cm7;Bm7;E7(b9);Am7;D7(9);G7M;C7M;G7M;G7M;C7M;C7(9);G7M;C7(9);Bm7;A#º;Am7;E7(#5);Am7;E7(#5);Am7;D7(9);D7(13);D7(b13);G7M;Gº;Am7;D7(b9);G7M;C7M;C7(9);G7M;Dm7;G7(b13);C7M;A#º;C#º;Bm7;E7(b9);Am7;D7(9);Dm/F;G7;C7M;C#º;Bm7;E7(b9);Am7;D7/9;G
diogo-nogueira,contando-estrelas,F,F;C7;F;F7;Bb;C;F;Dm;G#m;C;C7;F;C;F;F7;Bb;C;F;Dm;G#m;C;C7;Bb;F;Bb;C;F;Dm;Bb;G#m;F;F7;Dm;C;F;F7;Dm;C;F;F;Dm;G#m;F;Dm;Bb;Dm;G#m;C;F;F;C;F;F7;Bb;Dm;Bb;Dm;C;Bb;F;G#m;C;F;F7;Bb;F;F;G#m;C;F
diogo-nogueira,deus-mais,F,G7+;A7/9;Cm;D7;G7+;Em7;Am7;D7;G7+;A7/9;Cm;D7;G7+;Gm7;Cm7;D7;Gm7;Cm7;F7;Bb7+;A7;D7;A7;D7;Dm7/4;C7+;Cm7;F7;Bb7+;Bb7;Em7;D7;Dm7/4;C7+;Cm7;F7;G7+;Em7;Am7;D7
diogo-nogueira,do-jeito-que-sou,D,D;G7M;D;A7/5+;D;G7M;D;G7M;D;Bm7;Em7;A7;D;E7;A;D;A;D;A;F#7;Bm7;E7;A;A7;D;G7M;D;G7M;D;Bm7;Em7;A7;D;E7;A;D;A;D;A;F#7;Bm7;Em7;A;D7;G7M;A7;Bm7;G7M;A7;D;F#7;Bm7;Bb;Eb;Am7;D7;G7M;A7;Bm7;G7M;A7;D;F#7;Bm7;Bb;Eb;Em7;A7
diogo-nogueira,espelho,G,D;Gm;D;Gm;D;D7;G;C7;Am7;D7;G7+;C7;D;D;D7;Gm;C7;D;Gm6;C7;Am7;D7;Gm6;C7;D;D7;G7+;Gm6;D;D;Gm6;D;Gm6;D;Gm;D;Gm;D;D7;G;C7;D;Gm6;C7;D;Gm6;D;Gm;C7;D;Gm6;C7;Am7;D7;Gm6;C7;D;D7;G;Gm6;D;D;Gm6;G#m5-/7;Gm6;D;Gm6;D;Gm;D;Gm;D;D7;G;C7;D;Gm6;C7;D;C7;D;D7;Gm;C7;D;Gm6;C7;Am7;D7;Gm;C7;D;D7;G;Gm6;D;D7;Gm6;C7;Gm6;D;Gm6;D;Gm6;D
diogo-nogueira,ex-amor,G,Cm;D7;Gm;G7;Cm;D7;Gm;D7;Gm;G7;Cm;D7;Gm;G7;Cm;D7;Gm;D7;Gm;G7;Cm;D7;Gm;G7;Cm;D7;Gm;G7;Cm;Cm6;Cm;D7;Gm;D7;Gm;G7;Cm;Cm6;Cm;D7;Gm;D7;Gm;G7;Cm;Cm6;Cm;D7;Cm;D7;Gm;G7;Cm;D7;Gm;G7;Cm;D7;Gm;D7
diogo-nogueira,fe-em-deus,G,Gm;C7/9;Am7/5-;D7/9;Gm;D7/9;Gm;C7/9;Gm;C7/9;Gm;C7/9;Fm;F#m;Gm;C7/9;Gm;C7/9;Gm;Bb6;Am7/5-;D7;G;Am7/5-;D7;G;Bm7/5-;E7;Am;Am7/5-;D7;G;Bm7/5-;E7;Am7;Bm7;Am7;D7/9;G;G7;C;D7/9;G;G7;C;D7/9;G;Bm7/5-;E7;Am7;Bm7;Am7;D7/9;G;C;D7/9;G;G7;C;D7/9;G;Bm7/5-;E7;Am7;Bm7;Am7;D7/9;G;G6;Am7/-5;Gm;C7/9;Gm;C7/9;Gm;C7/9;Gm;C7/9;Fm;F#m;Gm;C7/9;Gm;C7/9;Gm;Bb6;Am7/5-;D7;G
diogo-nogueira,forca-maior,F,Dm;Gm;C7;C#dim;Dm;F13;Em7(5-);A7;Dm;Dm;A7;Dm;A7;Dm;A7;Dm;D7;Gm;C7;F7+;Bb7+;Em7(5-);A7;Am7(5-);D7;Gm;C7;F7+;Bb7+;Em7(5-);A7;Dm;A7;Dm;A7;Dm;Dm7+;Dm7;Dm6;D7;Gm;C7;F7+;Bb7+;Em7(5-);A7;Dm;A7;Dm;A7;Dm;A7;Dm;A7;Dm;C7/4;C7;F7+;F6;Em7(5-);A7;Am7(5-);D7;D7;Gm;Bb7;A7;Dm;C7;F;C;Bb7;A7;C7;F;C;Bb7;A7;Dm;A7;Dm;A7;Dm;Dm7+;Dm7;Dm6;D7;Gm;C7;F7+;Bb7+;Em7(5-);A7;Dm;A7
diogo-nogueira,homenagem-ao-malandro,C,C6/9;A7(b9);D7/9;G9;C6/9;G7/b9;C6/9;A7(b9);D7/9;G9;C6/9;C7M;Dm7(b5);D#m7(b5);Em7(b5);A7(b9);D7(13);D7(b13);Dm7;G7(9);C7M;Am7;Dm7;G9;Em7(b5);A7(b9);D7(13);D7(b13);Dm7;G7(9);C6/9;B7;Bb7;A7(13);D7(9);G7(13);C7M;A7(13);D7(9);G7(13);C7M;C7(9);F7M;D7(9);Dm7(9);G7(13);Em7(b5);A7(b9);D7(13);D7(b13);Dm7;G7(9);C7M;Am7;Dm7;G9;Em7(b5);A7(b9);D7(13);D7(b13);Dm7;G7(9);C6/9;G7/b9
diogo-nogueira,lua-de-um-poeta,A,A;B7;D;E7/9;A;D/E;A;B7;D;E7/9;A;D/E;A;B7;D;E7/9;A;F#(b13);Bm;E7;A;F#(b13);Bm;E7/9;A;Abm7/5-;C#7;F#m;B7/13;B(b13);Bm7;E7;D7+;E7;A;A7(b13);D7+;E7;A;A7(b13);D#m5-/7;D7+;A/C#;Cº;Bm;E7/9;A
diogo-nogueira,malandro-e-malandro-mane-e-mane,A#,Bb7;G7/5;Cm7;F7;Bb7;G7/5+;Cm7;F7;Dm7/5b;G7/5+;Cm7;F7;Bb7;Bb7;G#7;G7;Cm7;F7;Bb7;Bb7;G7/5;Cm7;F7;Bb7;G7/5+;Cm7;F7;Dm7/5b;G7/5+;Cm7;F7;Bb7;G#7;G7;Cm7;F7;Bb7;G#7;G7;Cm7;F7;Bb7
diogo-nogueira,me-leva,A,G;A7;F#m;B7;Em;F#m;G;Abº;A7;D;A7;Bm;F#7;G;D;E7;A7;D;A7;Bm;F#7;G;D;E7;A7;G;D;A7;D;D7;G;D;A7;D;A7;D;F#7;Bm;F#7;G;A7;F#m;B7;E7;A7;D;A7
diogo-nogueira,no-na-madeira,G,D7+;B7(9-);Em7(9);A7;D7+;B7(9-);Em7;A7;F#m7;B7(9-);Em7(9);A7;D7+;B7(9-);Em7(9);A7;D7+;B7(9-);Em7(9);A7;D7+;F#m7;Fº;Em7;A7;D7+;B7(9-);Em7(9);A7;D7+;B7(9-);Em7(9);A7;D7+;B7(9-);Em7(9);A7;D7+;F#m7;Fº;Em7;A7;Am7;D7(9);G/B;G/Bb;D7+;B7(9-);Em7(9);A7;D7+;Am7;D7(9);G/B;G/Bb;D7+;B7(9-);Em7(9);A7;D7+;Em7(9);A7;D7+;B7(9-);Em7(9);A7;D7+;B7(9-);Em7(9);A7;D7+;B7(9-);Em7(9);A7;D7+;B7(9-);Em7(9);A7;D7+;B7(9-);Em7(9);A7;D7+;B7(9-);Em7(9);A7;D7+;B7(9-);Em7(9);A7;D7+;B7(9-);Em7(9)
diogo-nogueira,o-poder-da-criacao,C,Am;G7/4;G7/(5B);G7;G#°;Am;Am/G;F7;F#°;E7;Dm;Dm/C;Bm7(5b);E7;Am;F;F7M;E7/4;E7;Am;C7;Bm7(5b);E7;Am;G7/4;G7(5b);G7;Am;F#°;E7;Dm;Dm/C;Bm7(5b);E7;Am;Em7(5b);A7;Dm;F#°;E7;Am;A7;Dm;Dm/C;Bm7(5b);E7;Am;Bm;C7;Bm;E7;Bm7(5b);E7;Am;C7;F7;E7;Am;C7;F7;E7;Am
diogo-nogueira,sou-eu,D,D6/9;G6(#11);D6/9;C#m7(b5);F#7(b9);G7M;G#dim;D/A;F#7(b9);Bm;B7;B7/D#;Em7;A7;Em7;A7;G/A;C#dim;D6/9;D6/9;C#m7(b5);F#7(b9);G7M;G#dim;D/A;F#7(b9);Bm;B7;B7/D#;Em7;A7;Em7;A7;G/A;A9;G7;F#7;F#m7(11);B7;E7;A7;F#m7(11);B7;E7;A7;F#m7(11);B7;E7;A7;F#m7(11);B7;E7;A7
diogo-nogueira,tristeza,G,G7+;Gm6;C7/9;F#m7;B7;B7/#5;B7;Em7;A7(4/9);A7/b9;D7+/9;A7/b13;D7+/9;A6;D7+/9;A6;F#m7;Em7;A7/13;D7+/9;A6;D7+/9;A6;G#7/b5;G7+;Gm6;C7/9;F#m7;B7;B7/#5;B7;Em7;A7(4/9);A7/b9;D7+/9;G#7/b5;G7+;Gm6;C7/9;F#m7;B7;B7/#5;B7;Em7;A7(4/9);A7/b9;D7+/9;A7/b13;D7+/9;A6;D7+/9;A6;F#m7;Em7;A7/13;D7+/9;A6;D7+/9;A6;G#7/b5;G7+;Gm6;C7/9;F#m7;B7;B7/#5;B7;Em7;A7(4/9);A7/b9;D7+/9;G#7/b5;G7+;Gm6;C7/9;F#m7;B7;B7/#5;B7;Em7;A7(4/9);A7/b9;G#/A#;A#7/9;A7(4/9);A7/9;D7+/9;A6;D7+/9;A6;C7+;D7+/9;A6;D7+/9;A6;C7+;D7+/9
diogo-nogueira,vazio,G,D;D;G;F#m;Bm;Em;A7;D;G;A7;D;G;F#m;Bm;G;A7;D;A7;Dm;B;E7;Gm6;Am;Dm;A7;D;Em;F#m;G;D;Em;D;G;F#m;A7;D;A7;D;G;F#m;Bm;Em;A7;D;G;A7;D;G;F#m;Bm;G;A7;D;A7;D;Em;F#m;A7;D;A7;D;A7;F#m;G;D;Bm;C;C#;D;A7;D;Bm;Em;D;A7
dire-straits,sultans-of-swing,A,Dm;C;C;Dm;C;C;Dm;Dm;C;Bb;A;A7;Dm;C;Bb;A;F;C;Bb;Dm;Bb;C;Dm;C;Bb;A;Dm;C;Bb;A;F;C;Bb;Dm;Bb;C;Bb;C;Dm;C;Bb;C;Dm;C;Bb;C;Dm;C;Bb;A;A7;Dm;C;Bb;A;F;C;Bb;Dm;Bb;C;Dm;C;Bb;A;A7;Dm;C;Bb;A;A7;C;Bb;Dm;Bb;C;Bb;C;Dm;Dm;C;Bb;C;Dm;C;Bb;C;Dm;C;Bb;A;A7;Dm;C;Bb;A;A7;F;C;Bb;Dm;Bb;C;Bb;C;Dm;Dm;C;Bb;C;Dm;C;Bb;C;Dm;C;Bb;A;Dm;C;Bb;A;F;C;Bb;Dm;C;Bb;C;Dm;C;Dm;C;Bb;C
discopraise,se-eu-me-humilhar,E,C#m7;B;A9;E9;B/D#;A/C#;F#m7;E9;B/D#;A/C#;F#m7;A7M;B/D#;G#m7;C#m7;B9;A7M;F#m7;E9;A7M;B9;A7M;B9;F#m7;E/G#;B;A7M;B9;A/C#;B/D#;F#m7;E/G#;B;E9;B/D#;A/C#;F#m7;E9;B/D#;A/C#;F#m7;A7M;B/D#;G#m7;C#m7;B9;A7M;F#m7;E9;A7M;B9;A7M;B9;F#m7;E/G#;B;A7M;B9;A/C#;B/D#;F#m7;E/G#;B;F#m7;E/G#;C#m7;B;F#m7;E/G#;C#m7;B;F#m7;E/G#;C#m7;B;A7M;B9;A7M;B9;F#m7;E/G#;B;A7M;B9;A/C#;B/D#;F#m7;E/G#;B
divina-inspiracao,digno-de-louvor,G,G7+;E7;Am7;D7;G7+;D7;G7+;Am7;Bm7;E7;Am7;D7;G7+;D7;G7+;Am7;Bm7;E7;Am7;D7;G7;D7;G7;Am7;Bm7;E7;Am7;D7;G7+;E7;Am7;D7;G7+;G7;Am7;Bm7;E7;Am7;D7;G7+;E7;Am7;D7;G7+
djavan,aquele-um,G,F7(#11);E7(#9);A7(9);D7(9/13);G7M;E7(#9);A7(9);D7(9/13);G7M;E7(#9);A7(9);D7(9/13);Bm7;E7(#9);A7(9);D7(9/13);Bm7;E7(#9);A7(9);D7(9/13);Bm7;E7(#9);A7(9);D7(9/13);Bm7;E7(#9);Am7(9);Am/G;F#m7(b5);B7(b9);Em7M(9);A7(b5);Am7;D7(9/13);F7(#11);E7(#9);A7(9);D7(9/13);F7(#11);E7(#9);A7(9);D7(9/13);F7(#11);E7(#9);A7(9);D7(9/13);F7(#11);E7(#9);A7(9);D7(9/13)
djavan,eu-te-devoro,D,D7M;Bm7(9);G7M;Em7;A7;D7M;Bm7(9);G7M;Em7;D7+;Bm7(9);G7M;Em7;A7/4;A7;D7M;Bm7(9);G7M;Em7;D7M;Bm7(9);G7M;C7(9);Bm7;F#m/A;G7M;Bm7;F#m/A;G7M(9);Bm7;F#m/A;G7M;F#m7;G7M;Bm7;F#m/A;G7M;Bm7;F#m/A;G7M(9);Bm7;F#m/A;G7M;F#m7;G7M(9);D7M;Bm7(9);G7M;Em7;A7(4);D7M;Bm7(9);G7M;Em7;A7(4);D7M;Bm7(9);G7M;Em7;A7(4);D7M;Bm7(9);G7M;Em7;A7(4);D7M;Bm7(9);G7M;Em7;Gm6
djavan,flor-de-lis,G,C7M(9);Fm6;C7M(9);Bm7(5-);E7(13-);Am7(9);D7(13);Gm7;C7(9);F#m7(5-);B7(9-);Bb7M;A7(13-);F#m7(5-);B7(9-);Em7(9);A7(13-);D7(9);G4(7/9);G7(9-);C7M(9);Bm7(5-);E7(13-);Am7(9);D7(13);Gm7;C7(9);F#m7(5-);B7(9-);Bb7M;A7(13-);F#m7(5-);B7(9-);Em7(9);A7(13-);Am6;Fm6;C7M(9);E7(9+);Am7(9);E/G#;Gm7;C7(9);F7M;Bb7(9);Em7(9);A7(13-);D7(9);G4(7/9);G7(9-);Gm7;C7(9);F7M;Bb7(9);Em7(9);A7(13-);D7(9);G4(7/9);G7(9-);C6(9);C7M(9);Fm6
djavan,nem-um-dia,F,Dm;C7(11);Bb5(9);A4(9-);Dm;C7(11);Bb5(9);A4(9-);Dm;C7(11);Bb5(9);A4(9-);Bb5(9);Dm7;Bb7(9/13);Em7(5-);A7(13-);Bb5(9);Dm7;Bb7(9/13);Em7(5-);A7(13-);Em7(5-);A7(13-);A7(9+/13-);Dm;C7(11);Bb5(9);A4(9-);Dm;C7(11);Bb5(9);A4(9-);Dm;C7(11);Bb5(9);A4(9-);Dm;C7(11);Bb5(9);A4(9-);Bb5(9);Dm7;Bb7(9/13);Em7(5-);A7(13-);Em7(5-);A7(13-);A7(9+/13-);Dm;C7(11);Bb5(9);A4(9-);Dm;C7(11);Bb5(9);A4(9-);Dm;C7(11);Bb5(9);A4(9-);Dm;C7(11);Bb5(9);A4(9-)
djavan,oceano,F,D;G7M;A7;A#°;Bm;Bm7M;Bm7;Bm6;Am7;D7(9);Gm7;C7(9);F#m7;B7(9-);E7(9);A7(4);D;G7M;A7;A#°;Bm;Bm7M;Bm7;Bm6;Am7;D7(9);Gm7;C7(9);F#m7;B7(9-);E7(9);A7(4);Dm;C7(4/9);F7M;Em7(5-);A7(13-);Dm;C7(4/9);F7M;Gm7;Am7;Bb7M;Em7(9);A7(13-);Dm;C7(4/9);F7M;Em7(5-);A7(13-);Dm;C7(9);F7M;Gm7;Am7;Bb7M;Em7(5-);A7(13-);D;F7M;G7M;C;D;F7M;G7M;C;D
djavan,samurai,E,E7M;Gº;G#m7;C#7(9);E7M;Gº;G#m7;B7(13);B5(7/9);E7M;Gº;G#m7;C#7(9);E7M;Gº;G#m7;B7(9);E7M;Gº;G#m7;C#7(9);E7M;Gº;G#m7;B7(9);E7M;Gº;G#m7;C#7(9);E7M;Gº;G#m7;B7(13);B5(7/9);E7M;Gº;G#m7;C#7(9);E7M;Gº;G#m7;B7(13);B5(7/9);E7M;Gº;G#m7;C#7(9);E7M;Gº;G#m7;B7(9);E7M;Gº;G#m7;C#7(9);E7M;Gº;G#m7;B7(13);B5(7/9);E7M;Gº;G#m7;C#7(9);E7M;Gº;G#m7;C#7(13);B7(13);E7M;Gº;G#m7;C#7(9);A7M;G7M;F#m7;B7(9);E7M;Gº;G#m7;C#7(9);A7M;A#m7(5-);D#7(9-);E7M;Gº;G#m7;C#7(9);E7M;Gº;G#m7;C#7(13);B7(13);E7M;Gº;G#m7;C#7(9);E7M;Gº;G#m7;B7(13);B5(7/9);E7M;Gº;G#m7;C#7(9);E;Gº;G#5(7/9/11)
djavan,se,A,A;D;F#m7(11);E;A;D;F#m7;A;D;C#m7;D7M(9);G#m7;F#m7;B7;D;C#m7;Bm7;E4/7(9);G7M(6/9);A;D;F#m7;A;D;C#m7;D7M(9);G#m7;F#m7;B7;D;C#m7;D;C#m7;D;C#m7;Bm7;D;C#m7;Bm7;E4/7(9);A;D;F#m7(11);E;A;D;F#m7(11);E;A;D;F#m7(11);E;A;D;F#m7(11);E;A;D;F#m7(11);E;A;D;F#m7(11);E;A;D;F#m7(11);E;A;D;F#m7(11);E;A;D;F#m7(11);E;A;D;F#m7(11);E;A;D;F#m7;A;D;C#m7;D7M(9);G#m7;F#m7;B7;D;C#m7;Bm7;E4/7(9);G7M(6/9);A;D;F#m7;A;D;C#m7;D7M(9);G#m7;F#m7;B7;D;C#m7;D;C#m7;D;C#m7;Bm7;D;C#m7;Bm7;E4/7(9);A;D;F#m7(11);E;A;D;F#m7(11);E;A;D;F#m7(11);E;A;D;F#m7(11);E;A;D;F#m7(11);E;A;D;F#m7(11);E;A;D;F#m7(11);E;A;D;F#m7(11);E;A;D;F#m7(11);E
djavan,sina,E,A;D/A;A;D/A;A;D/A;A;G#m7(11);C#7(9-);F#m7;C#m7;D7M;D#°;A;D/A;A;G#m7(11);C#7(9-);F#m7;C#m7;D7M;D#°;A;D/A;A;G#m7(11);C#7(9-);F#m7;C#m7;D7M;D#º;E4(7/9);D4(7/9);D7(9);C#7(9+);C#7(9-/13-);F#m7;E4(7/9);D4(7/9);E4(7/9);F#m7;A;D/A;A;G#m7(11);C#7(9-);F#m7;C#m7;D7M;E4(7/9);A;D/A;A;D/A;A;G#m7(11);C#7(9-);F#m7;C#m7;D7M;E4(7/9)
dlack,sem-ar,G,G9;G;Em7(9/11);Em7(9);C9;G/B;Am7;D4;D;D9;G9;G;Bm7;C9;C/D;D;D4;G9;G;Bm7;C9;C/D;D;D4;G;D9/F#;Em7(9/11);Em7(9);C9;Am7;D7(4);G;D9/F#;Em7(9);Bm7;C9;G/B;Am7;D7(4);G9;G;Bm7;C9;C/D;D;D4;G9;G;Bm7;C9;C/D;D;D4;C7M;G/B;Am7;Am7/G;F7M;D;E;A;E/G#;E/F#;F#m7;A/C#;D;A/C#;Bm7;E;E4;A;E/G#;F#m7;A/C#;D;A/C#;Bm7;E;A7M(9)
doce-encontro,alem-dos-limites,C,Bm7/9;Bm79/A;Bm/G#;Bm7/9;Bm7/9/A;Bm/G#;G5;Bm7/9;Bm7/9/A;Bm/G#;Bm/G;Bm7/9;Bm79/A;Bm/G#;B5+7;Em7;G5;F#7/9-;Bm7/9;Bm7/9/A;Bm/G#;Bm/G;Bm7/9;Bm7/9/A;Bm/G#;B5+/7;Em7;C#m5-/7;C7/13;F7+;C7+;C7/13;F7+;G7/9;C7+;C7/13;F7+;C7+;C7/13;F7+;G7/9;C7+;G/B;Ab/C;G7/9;C7+;G/B;Ab/C;G7/9;C7+;G/B;Ab/C;G7/9;C7+;G/B;Ab/C;G7/9;C7+;G5;F#7/9-
dom-m,aqueles-olhos,G,Am;Am7/G;D9/F#;F;Am;Am7/G;D9/F#;F;Am;Am7/G;D9/F#;F;Am;Am7/G;D9/F#;F;Am;Am7/G;D9/F#;F;Am;Am7/G;D9/F#;F;Am;Am7/G;D9/F#;F;Am;Am7/G;D9/F#;F;Am;Am7/G;D9/F#;F;Am;Am7/G;D9/F#;F;Am;Am7/G;D9/F#;F;Am;Am7/G;D9/F#;F;Am;Am7/G;D9/F#;F;Am;Am;Am7/G;D9/F#;F;Am;Am7/G;D9/F#;F
dona-ivone-lara,alguem-me-avisou,A,D7+;C#m7;Bm7;A7+;E7/9;A7+;D7+;C#m7;A7+;D7+;C#m7;F#7;Bm7;E7/9;A7+;F#7;Bm7;E7;A7+;F#7;Bm7;E7;A7+;F#7;Bm7;E7;A7+;F#7;Bm7;E7;A7+;D7+;C#m7;Bm7;A7+
dragonball-z,tema-dragon-ball-z,G,Em;D;C;Em;D;C;G;D;C;D;Em;B;Em;D;C;G;D;C;D;Em;B;C;D;G;B;C;D;G;B;Em;D;C;D;Em;D;C;D;Em;C;D;Em;C;D;B;Em;Em;D;C;D;Em;D;C;D;Em;C;D;Em;C;D;B;Em
dudu-nobre,favo-de-mel,G,G7M;G6;F#m7(5b);B7;Em;C#m7(5b);F#7;Bm;E7/9;E7/9/B;A7M;A6;Am7;D7/9;G;G6;F#m7(5b);B7;Em;C#m7(5b);F#7;Bm;E7/9;E7/9/B;A7M;A6;Am7;G7M;Cm;G7;C;Cm;Bm;Bm7(5b);E7;Am;Bm;C;D7;G7M;G6
e-o-tchan,segura-tchan,G,C;G;D;G
earlyrise,old-friend,E,A9;C#m7;Bsus4;C#m;A9;C#m;B;A9;B
ed-sheeran,give-me-love,C,Am;F/C;C;Am;F/C;C;Am;F/C;C;Am;F/C;C;Dm;F/C;C;G/B;Dm;F/C;C;Dm;F/C;C;Dm;F/C;C;Dm;F/C;Am;G;F/C;Am;F/C;C;Am;F/C;C;Am;F/C;C;Am;F/C;C;Dm;F/C;C;G/B;Dm;F/C;C;Dm;F/C;C;Dm;F/C;C;Dm;F/C;Am;G;F/C;C;Dm;F/C;C;Dm;F/C;C;Dm;F/C;Am;G;F/C;Am;F/C;C;Am;F/C;C
