artista,musica,tom,sequencia
adele,someone-like-you,A,A;C#m/G#;F#m;D;A;C#m/G#;F#m;D;A;C#m/G#;F#m;D;A;C#m/G#;F#m;D;A;C#m/G#;F#m;D;E;F#m7(11);D;E;F#m7(11);D;D9(4+);D;E;F#m7(11);D;E;F#m7(11);D;D;D4+;A;E;F#m;D;A;E;F#m;D;A;E;F#m;D;A;E;F#m;D;A;E;F#m;D;A;E;F#m;D;A;C#m/G#;F#m;D;A;C#m/G#;F#m;D;E;F#m7(11);D;E;F#m7(11);D;D9(4+);D;D4+;A;E;F#m;D;A;E;F#m;D;A;E;F#m;D;A;E;F#m;D;Bm7(11);F#m7/C#;D5;Bm;C#m7(5+);D;D;F#m7/C#;D5;Bm;C#m7(5+);D;A;E;F#m;D;A;E;F#m;D;A;E;F#m;D;A;E;F#m;D;A;E;F#m;D;A;E;F#m;D;A;E;F#m;D;A;E;F#m;D;A;E;F#m;D
adhemar-de-campos,grande-o-senhor,A,Bm;C#m;D7+;C#7/9-;Bm;C#m;Dm/F;D/E;A9;D9;E;A9;D9;C#m;F#m;A9;D;A/C#;D9;E;A9;D9;Dm;A9;D;C#m;F#m;A9;Bm;D;A/C#;D9;E;A9;C#m7;D;A/C#;Bm7;E;A9;C#m7;D9;A/C#;Bm7;E;A9;D;E
adoniran-barbosa,prova-de-carinho,C,Dm;Am;F;E7;Am;A7;Dm;E7;Am;A7;Dm;G7;C;Am;Dm6;F;E7;Am
adoniran-barbosa,saudosa-maloca,C,Dm;Am;F;E;Am;G;F;E;Am;E;Am;E7;Am;E7;Am;A7;Em7(5-);A7;Em7(5-);A7;Em7(5-);A7;Dm;Am;B7;E7;A7;Dm;Am;E7;Am;E7;Am;A7;Dm;Am;B7;E7;Dm;Am;A7;Dm;Am;B7;E7;Dm;Am;B7;E7;Am;Dm;Am;F;E;Am
adoniran-barbosa,tiro-ao-alvaro,D,A;F#7;Bm7;Bm7/5-;E7;A7+;Em7;A7;D;G7;C#m7;F#7;Bm7;E7;A7+;E7;A7;D;E/Ab;C#m7;F#7;Bm7;E7;Em7;A7;D;Ebº;C#m7;F#7;Bm7;E7;A7+;E7;D;D;F#;Bm7;E7;Em7;A7;D;C#m7;F#;Bm7;E7;A7+;E7/9+
adoniran-barbosa,trem-das-onze,C,Dm;E7;Am;F;E7;Am;E7;Am;E7;Dm;E;Am;F;E7;Dm;E7;Am;A7;Dm;B7;E7;Dm;E7;Am;F;E7;Am;Dm;E;Am;F;E7;Am;Am
adoracao-e-adoradores,tu-es-bom,D,E;B/E;D/E;A/E;E;B/D#;D;A/C#;E;B/D#;D;A/C#;A;B9;C;D;E;B9;D;A;E;B9;D;A;E;B9;D;A;E/G#;B9;C;D;E;G;A;E;D;E;G;A;E;D;A/C#;C#5;D5;C#5;D5;C#5;D5;C#5;D5;E;E;C#5;D5;C#5;D5;C#5;D5;C#5;D5;G;E;E5;F#5;G5;A5;B;G;A;E;G;A;B;D;C#;A;G;B;G;A;E;G;A;B;D;C#;A;G;E;B9;D;A;E/G#;B9;C;D;E
adoracao-e-adoradores,vim-para-adorar-te,E,E;B;F#m;A9;E;B;F#m;A9;E;B;A9;E;B;F#m;A9;E;B;A9;E;B;C#m;A9;E;B;C#m;A9;E;B;F#m;A9;E;B;A9;E;B;F#m;A9;E;B;A9;E;B;C#m;A9;E;B;C#m;A9;B;C#m;A9;B;C#m;A9
adriana-arydes,halleluiahj,C,F;Dm;F;Dm;F;Dm;F;Dm;Bb;C;F;C;F;Bb;C;Dm;Bb;C/E;A7;Dm;Bb;Dm;Bb;F;C;F;F;Dm;F;Dm;F;Dm;F;Dm;Bb;C;F;C;F;Bb;C;Dm;Bb;C/E;A7;Dm;Bb;Dm;Bb;F;C;G;G;Em;G;Em;G;Em;G;Em;C;D;G;D;G;C;D;Em;C;D/F#;B7;Em;C;Em;C;G;D;G;G;Em;G;Em
adriana-calcanhotto,devolva-me,C,C7M;C9;Dm7;G7;Dm7;G7;Dm7;G7;C9;Dm7;G7;Dm7;G7;Dm7;G7;C9;E;Am;Dm7;G7;C9;Dm7;G7;Dm7;G7;Dm7;G7;C9;Dm7;G7;Dm7;G7;Dm7;G7;C9;Am;F;C9;C7M
adriana-calcanhotto,fico-assim-sem-voce,A,A;C#m7;D;E7;A;C#m7;D;E7;A;C#m7;D;E7;D;E7;Fº;F#m7;B7;E7;A;C#m7;D;E7;A;C#m7;D;E7;D;E7;Fº;F#m7;B7;E7;F#m7;C#m7;D;A;C#7;F#m7;C#m7;D;E7;A;C#m7;D;E7;A;C#m7;D;E7;D;E7;Fº;F#m7;B7;E7;F#m7;C#m7;D;A;B7;F#m7;C#m7;D;E7;A
adriano-ribeiro,cenario-de-novela,D,Bm;E7;Am;D7;G;C#m;F#7;Bm;E7;G;F#m;C#m;F#7;Bm;E7;G;F#m;C#m;F#7;Bm;E7;Bm;E7;G;F#m;C#m;F#7;Bm;E7;Bm;E7;G;F#m;C#m;F#7;D7;G;F#7;Bm;Bbm;Am;D7;G;F#7;Bm;F#7
aerosmith,i-dont-wanna-miss-thing,D,B7;A9/C#;E4;B7;A9/C#;E4;B7;A9/C#;E4;B7;A9/C#;D6;D6/C#;D6/B;D6/G;D6/F#;D6/E;D6;D6/C#;D6/B;D6/G;D6/F#;D6/E;D6/F#;D6/G;D6/A;D6;D6/C#;D6/B;D6/G;D6/F#;D6/E;D6;D6/C#;D6/B;D6/F#;D6/G;D6/A;D;A9/C#;Em7(9);G5/F#;G;A4;D;A9/C#;Em7(9);G5/F#;G;A4;D;A9/C#;Em7(9);D;A9/C#;Bm7(11);G;D9/F#;Em7;D;A9/C#;Bm7(11);F#m7(11);G7M;A4;D;A9/C#;Em7(9);G5/F#;G;A4;D;A9/C#;Em7(9);G5/F#;G;A4;D;C9;C9/B;Bb9(11+);F/A;C9;C9/B;Dm7(9);A4;A;D;A9/C#;Em7(9);G5/F#;G;A4;D;A9/C#;Em7(9);G5/F#;G;A4;D;Bm7(11);C#m7(11);Em7(11);G5/F#;G5;A4;D;A9/C#;Em7(9);G5/F#;G5;A4
